解读GPS
日期,时间,纬度,经度,海拔,地面速率,地面航向,卫星数
17年05月10日,01时33分23秒,40度47.6分,111度41.727分,1135m,000.9公里／小时,338.0度,09颗
17年05月10日,01时33分24秒,40度47.6分,111度41.727分,1135m,000.9公里／小时,338.0度,09颗
17年05月10日,01时33分25秒,40度47.6分,111度41.721分,1132m,001.1公里／小时,338.0度,10颗
17年05月10日,01时33分26秒,40度47.6分,111度41.720分,1128m,001.1公里／小时,338.0度,09颗
17年05月10日,01时33分27秒,40度47.6分,111度41.721分,1122m,001.0公里／小时,338.0度,09颗
17年05月10日,01时33分28秒,40度47.6分,111度41.722分,1119m,001.3公里／小时,338.0度,09颗
17年05月10日,01时33分29秒,40度47.6分,111度41.722分,1115m,001.5公里／小时,338.0度,09颗
17年05月10日,01时33分30秒,40度47.6分,111度41.723分,1113m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分31秒,40度47.6分,111度41.726分,1101m,000.0公里／小时,338.0度,10颗
17年05月10日,01时33分32秒,40度47.6分,111度41.728分,1092m,000.0公里／小时,338.0度,10颗
17年05月10日,01时33分33秒,40度47.6分,111度41.734分,1071m,000.0公里／小时,338.0度,10颗
17年05月10日,01时33分34秒,40度47.6分,111度41.736分,1063m,000.0公里／小时,338.0度,10颗
17年05月10日,01时33分35秒,40度47.6分,111度41.736分,1062m,000.1公里／小时,338.0度,10颗
17年05月10日,01时33分36秒,40度47.6分,111度41.736分,1061m,000.2公里／小时,338.0度,10颗
17年05月10日,01时33分37秒,40度47.6分,111度41.736分,1060m,000.3公里／小时,338.0度,10颗
17年05月10日,01时33分38秒,40度47.6分,111度41.735分,1060m,000.3公里／小时,338.0度,10颗
17年05月10日,01时33分39秒,40度47.6分,111度41.735分,1059m,000.1公里／小时,338.0度,10颗
17年05月10日,01时33分40秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分41秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分42秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分43秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分44秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分45秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分46秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分47秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分48秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分49秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分50秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分51秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分52秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分53秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分54秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分55秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分56秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时33分57秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,10颗
17年05月10日,01时33分58秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,10颗
17年05月10日,01时33分59秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,10颗
17年05月10日,01时34分00秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,10颗
17年05月10日,01时34分01秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时34分02秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时34分03秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时34分04秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时34分05秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时34分06秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时34分07秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时34分08秒,40度47.6分,111度41.735分,1058m,000.0公里／小时,338.0度,09颗
17年05月10日,01时34分09秒,40度47.6分,111度41.734分,1058m,000.6公里／小时,338.0度,09颗
17年05月10日,01时34分10秒,40度47.6分,111度41.734分,1058m,000.8公里／小时,338.0度,09颗
17年05月10日,01时34分11秒,40度47.6分,111度41.734分,1058m,001.0公里／小时,338.0度,10颗
17年05月10日,01时34分12秒,40度47.6分,111度41.734分,1058m,001.3公里／小时,338.0度,10颗
17年05月10日,01时34分13秒,40度47.6分,111度41.734分,1058m,001.7公里／小时,338.0度,10颗
17年05月10日,01时34分14秒,40度47.6分,111度41.734分,1058m,002.3公里／小时,338.0度,10颗
17年05月10日,01时34分15秒,40度47.6分,111度41.733分,1058m,003.1公里／小时,339.1度,10颗
17年05月10日,01时34分16秒,40度47.6分,111度41.733分,1058m,001.5公里／小时,340.7度,10颗
17年05月10日,01时34分17秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分18秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分19秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分20秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,09颗
17年05月10日,01时34分21秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,09颗
17年05月10日,01时34分22秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,09颗
17年05月10日,01时34分23秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,08颗
17年05月10日,01时34分24秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分25秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,09颗
17年05月10日,01时34分26秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,09颗
17年05月10日,01时34分27秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,09颗
17年05月10日,01时34分28秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分29秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分30秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分31秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分32秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分33秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分34秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分35秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分36秒,40度47.6分,111度41.733分,1058m,000.0公里／小时,340.7度,10颗
17年05月10日,01时34分37秒,40度47.6分,111度41.733分,1058m,000.4公里／小时,340.7度,10颗
17年05月10日,01时34分38秒,40度47.6分,111度41.733分,1058m,000.4公里／小时,340.7度,10颗
17年05月10日,01时34分39秒,40度47.6分,111度41.733分,1058m,000.4公里／小时,340.7度,10颗
17年05月10日,01时34分40秒,40度47.6分,111度41.733分,1058m,000.6公里／小时,337.5度,10颗
17年05月10日,01时34分41秒,40度47.6分,111度41.733分,1057m,000.6公里／小时,349.7度,10颗
17年05月10日,01时34分42秒,40度47.6分,111度41.733分,1057m,000.9公里／小时,348.5度,10颗
17年05月10日,01时34分43秒,40度47.6分,111度41.733分,1057m,000.9公里／小时,347.2度,10颗
17年05月10日,01时34分44秒,40度47.6分,111度41.732分,1058m,001.1公里／小时,348.9度,10颗
17年05月10日,01时34分45秒,40度47.6分,111度41.732分,1057m,001.5公里／小时,340.0度,10颗
17年05月10日,01时34分46秒,40度47.6分,111度41.732分,1057m,001.9公里／小时,341.0度,10颗
17年05月10日,01时34分47秒,40度47.6分,111度41.731分,1057m,002.5公里／小时,341.4度,09颗
17年05月10日,01时34分48秒,40度47.6分,111度41.731分,1057m,004.1公里／小时,339.1度,09颗
17年05月10日,01时34分49秒,40度47.6分,111度41.729分,1057m,005.1公里／小时,337.8度,09颗
17年05月10日,01时34分50秒,40度47.6分,111度41.729分,1057m,007.0公里／小时,337.0度,09颗
17年05月10日,01时34分51秒,40度47.6分,111度41.727分,1058m,007.4公里／小时,336.4度,09颗
17年05月10日,01时34分52秒,40度47.6分,111度41.726分,1058m,008.8公里／小时,335.9度,09颗
17年05月10日,01时34分53秒,40度47.6分,111度41.724分,1058m,009.7公里／小时,335.1度,09颗
17年05月10日,01时34分54秒,40度47.6分,111度41.722分,1058m,009.1公里／小时,334.8度,09颗
17年05月10日,01时34分55秒,40度47.6分,111度41.721分,1058m,008.4公里／小时,335.7度,09颗
17年05月10日,01时34分56秒,40度47.6分,111度41.720分,1058m,009.3公里／小时,337.2度,09颗
17年05月10日,01时34分57秒,40度47.6分,111度41.719分,1058m,008.8公里／小时,338.4度,09颗
17年05月10日,01时34分58秒,40度47.6分,111度41.718分,1058m,008.5公里／小时,340.7度,09颗
17年05月10日,01时34分59秒,40度47.6分,111度41.717分,1058m,010.0公里／小时,343.2度,10颗
17年05月10日,01时35分00秒,40度47.6分,111度41.716分,1058m,011.9公里／小时,345.1度,10颗
17年05月10日,01时35分01秒,40度47.6分,111度41.715分,1057m,012.3公里／小时,345.6度,10颗
17年05月10日,01时35分02秒,40度47.6分,111度41.714分,1057m,012.0公里／小时,346.5度,10颗
17年05月10日,01时35分03秒,40度47.6分,111度41.713分,1057m,012.9公里／小时,345.5度,10颗
17年05月10日,01时35分04秒,40度47.6分,111度41.711分,1058m,012.3公里／小时,343.8度,09颗
17年05月10日,01时35分05秒,40度47.6分,111度41.709分,1057m,012.4公里／小时,342.7度,10颗
17年05月10日,01时35分06秒,40度47.6分,111度41.708分,1057m,012.1公里／小时,342.1度,09颗
17年05月10日,01时35分07秒,40度47.6分,111度41.707分,1057m,011.8公里／小时,341.1度,09颗
17年05月10日,01时35分08秒,40度47.6分,111度41.705分,1057m,011.3公里／小时,340.8度,09颗
17年05月10日,01时35分09秒,40度47.6分,111度41.704分,1057m,009.5公里／小时,341.0度,09颗
17年05月10日,01时35分10秒,40度47.6分,111度41.704分,1058m,008.9公里／小时,340.9度,09颗
17年05月10日,01时35分11秒,40度47.6分,111度41.703分,1058m,009.0公里／小时,341.5度,09颗
17年05月10日,01时35分12秒,40度47.6分,111度41.702分,1057m,009.4公里／小时,342.1度,09颗
17年05月10日,01时35分13秒,40度47.6分,111度41.701分,1057m,008.3公里／小时,343.1度,09颗
17年05月10日,01时35分14秒,40度47.6分,111度41.701分,1057m,006.0公里／小时,342.0度,09颗
17年05月10日,01时35分15秒,40度47.6分,111度41.700分,1057m,005.3公里／小时,341.7度,09颗
17年05月10日,01时35分16秒,40度47.7分,111度41.700分,1056m,004.9公里／小时,343.9度,09颗
17年05月10日,01时35分17秒,40度47.7分,111度41.699分,1056m,002.4公里／小时,343.9度,09颗
17年05月10日,01时35分18秒,40度47.7分,111度41.700分,1056m,002.0公里／小时,343.9度,09颗
17年05月10日,01时35分19秒,40度47.7分,111度41.700分,1057m,002.3公里／小时,343.9度,09颗
17年05月10日,01时35分20秒,40度47.7分,111度41.701分,1057m,003.1公里／小时,333.9度,09颗
17年05月10日,01时35分21秒,40度47.7分,111度41.700分,1057m,005.7公里／小时,334.5度,08颗
17年05月10日,01时35分22秒,40度47.7分,111度41.700分,1057m,009.4公里／小时,335.5度,08颗
17年05月10日,01时35分23秒,40度47.7分,111度41.699分,1057m,013.1公里／小时,336.1度,08颗
17年05月10日,01时35分24秒,40度47.7分,111度41.698分,1057m,013.1公里／小时,336.7度,08颗
17年05月10日,01时35分25秒,40度47.7分,111度41.697分,1057m,009.2公里／小时,339.7度,08颗
17年05月10日,01时35分26秒,40度47.7分,111度41.696分,1057m,004.5公里／小时,347.2度,08颗
17年05月10日,01时35分27秒,40度47.7分,111度41.696分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分28秒,40度47.7分,111度41.696分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分29秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分30秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分31秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分32秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分33秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分34秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分35秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分36秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分37秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分38秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分39秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分40秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分41秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分42秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分43秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分44秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分45秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分46秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分47秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分48秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分49秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分50秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分51秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分52秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分53秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,07颗
17年05月10日,01时35分54秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分55秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分56秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分57秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分58秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时35分59秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分00秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分01秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分02秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分03秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分04秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分05秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分06秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分07秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分08秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分09秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分10秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分11秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分12秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分13秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分14秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分15秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分16秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分17秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分18秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分19秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分20秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分21秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分22秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分23秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分24秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分25秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,08颗
17年05月10日,01时36分26秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分27秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分28秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分29秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分30秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分31秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分32秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分33秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分34秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分35秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分36秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分37秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分38秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分39秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分40秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分41秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分42秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分43秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分44秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分45秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分46秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,09颗
17年05月10日,01时36分47秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分48秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分49秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分50秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分51秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分52秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分53秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分54秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分55秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分56秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分57秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分58秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时36分59秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时37分00秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时37分01秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时37分02秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时37分03秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时37分04秒,40度47.7分,111度41.695分,1057m,000.0公里／小时,347.2度,10颗
17年05月10日,01时37分05秒,40度47.7分,111度41.691分,1053m,003.5公里／小时,343.1度,09颗
17年05月10日,01时37分06秒,40度47.7分,111度41.690分,1053m,007.8公里／小时,342.6度,10颗
17年05月10日,01时37分07秒,40度47.7分,111度41.688分,1054m,011.0公里／小时,339.3度,10颗
17年05月10日,01时37分08秒,40度47.7分,111度41.687分,1054m,013.0公里／小时,340.1度,10颗
17年05月10日,01时37分09秒,40度47.7分,111度41.685分,1054m,014.8公里／小时,339.4度,10颗
17年05月10日,01时37分10秒,40度47.7分,111度41.682分,1054m,015.9公里／小时,338.5度,10颗
